,e_venue
0,Grafton Galleries
1,Public Art Galleries
2,Goupil Gallery
3,Whitechapel Art Gallery
5,Doré Gallery
7,Städtische Ausstellungshalle am Aachener Tor
8,Moderne Kunst Kring
10,Rotterdamsche Kunstkring
11,Дом Шведской Церкви
12,Kiev (exact location unknown)
13,Ausstellungshaus am Kurfürstendamm 208/9
14,Художественное Бюро Добычиной
15,Большая Дмитровка 11
17,Художественный салон 11
19,Moscow (exact location unknown)
20,Художественное Бюро Н. Е. Добычиной
21,Dom Obshestva Pooshrfenija hudozhestv
24,Gebäude der Kunstschau Wien
25,Berliner Secession
26,Nemzeti Szalon
27,Galerie Ernst Arnold
28,Wallraf-Richartz-Museum
29,Fritz Gurlitt
30,Stedelijk Museum
33,Der Moderne Bund
34,Hans Goltz
36,Kunsthalle Bremen
38,Königlicher Glaspalast
39,Kunsthaus Zürich
42,Исторический музей
43,Grand Palais des Champs Elysées
44,Gebäude der Secession
46,Großherzogliches Museum für Kunst und Kunstgewerbe
47,Galerie Wertheim
49,Paul Cassirer
50,Московское Товарищество Художников
53,"V pomeshenijah muzeja i ""menshikovskih komnatah"""
54,Royal Albert Hall
55,Moderne Galerie (Heinrich Thannhauser)
56,Sonderbund Westdeutscher Kunstfreunde und Künstler
58,Levinskij House
60,Neue Secession Berlin E. V.
66,Der Sturm
70,Galerie Miethke
71,Művészház
77,Im Deutschen Theater / Im Foyer
79,"Vereenining van Beeldene Kunstenaars ""De Onafhankelijken"""
81,Vladimir Izdebsky
85,Der Sturm [venues]
90,Hôtel Drouot
92,Ekaterinodar (exact location unknown)
94,"Angers, Centre d'Art"
100,Saint Petersburg (exact location unknown)
101,Nevsky 73
104,Дом Левиссон
105,Malyj Zal Imperatorskogo Obshestva Pooshrenija Hudozhestv
110,Arti et Amicitiae
114,Doe Stil Voort
116,Tentoonstellingszaal
123,Pavilon v zahradě Kinských
126,Nijverheid- en Sporttentoonstelling
127,Musis Sacrum
130,Galerie La Boëtie
133,Galleria Futurista - Sprovieri
138,Galerie Georges Giroux
145,Neue Galerie
151,Stafford Gallery
153,Екатериниский зал
154,"Eduard Schulte, Kunsthandlung"
155,Giardini Pubblici
161,Союз Русских Художников
162,Литературно-Художественный Кружок
163,Городской музей
164,MM. Bernheim-Jeune & Cie
165,Musée des Arts Décoratifs
166,Spolek výtvarných umělců Mánes
167,La Libre Esthétique
174,Palazzo dell'Esposizone
178,Galleria Gonnelli
184,Foyer del Teatro Costanzi
185,Galleria Permanente Futurista
187,Esposizione internazionale di Milano (1906)
197,Städtischer Kunstpalast
201,Műcsarnok
208,Gelände der Internationalen Baufach-Ausstellung
210,Galerie Alfred Flechtheim
243,Kunsthalle Mannheim
244,Gemäldegalerie des Kölnischen Kunstvereins
247,Königliches Kunstausstellungsgebäude am Königsplatz
248,Galerienstraße 26
254,Städtisches Ausstellungsgebäude auf der Mathildenhöhe
257,Galleries of the Royal Society of British Artists
258,New English Art Club
259,Galerie H. Barbazanges
261,Galleries of the Alpine Club
268,Skupina výtvarných umělců
275,Osma
307,Serres de la Ville de Paris (Cours-la-Reine)
313,Exposition universelle de Gand
315,Galerie Arnot
317,Palais du Cinquantenaire
319,"Galerie Manzi, Joyant"
322,Musée National du Luxembourg
326,Carfax Gallery
357,Famiglia Artistica
359,Sackville Gallery
375,Gesellschaft zur Förderung moderner Kunst m.b.H.
376,Ausstellungsgelände Botanischer Garten Flora
377,Országos Magyar Képzőművészeti Társulat
378,Kunstmuseum
391,Chenil Gallery
394,Galeries Henry Graves and Co Ltd.
402,Galerie Eug. Blot
416,Museum der bildenden Künste
422,Institut Francais de St. Pétersbourg
425,Ateliers du Quai Rive-Neuve
428,Frankfurter Kunstverein
439,Ernst Múzeum
482,Galerie Kahnweiler
483,Galerie Notre-Dame-des-Champs
496,Obecní dům
515,Дом Ивана Кузнецова
528,Kunstschau Wien
554,Münchener Künstlergenossenschaft
559,Дом Строгановскаго училища
578,Nevskiy 68
580,Riga (exact location unknown)
581,Vilnius
600,Gilka-Villa
609,Galerie B. Weill
618,Galerie Druet
650,Jednota výtvarných umělců
672,Città di Venezia
674,Kunsthalle Bâle
677,Chateau des Rohan
685,Union Centrale des Arts Décoratifs
692,Palais de l'Ecole des Beaux-Arts
696,Galeries Durand-Ruel
729,Lyceum Club
739,"Galerie Manzi, Joyant & Cie."
745,Gebäude des Frankfurter Kunstvereins
758,Kölnischer Kunstverein
762,Kunstsalon Pisko
789,Gemälde Galerie Maximilian Macht
829,Könyves Kálmán Szalon
839,Galerie Commeter
861,Neues Secessionshaus
873,Künstlerbund Hagen / Hagenbund
880,Kunstsalon W. Zimmermann
924,Palais du Louvre - Pavillon de Marsan
971,Rudolfinum
972,Krasoumná jednota
990,Koninklijke Maatschappij van Aanmoediging der Schoone Kunsten Antwerpen
993,Räume des Künstlerbundes Hagen - Zedlitzgasse
1044,Hedendaagsche Museum - Musée Moderne
1051,Les Indépendants Cercle d'Art
1070,Casino Kursaal Oostende
1074,Gaston Braun - Éditeur Officiel des Musées Nationaux
1237,Galerie des Artistes Modernes
1292,Galerie d'Art Ancien & d'Art Contemporain
1293,Galeries J. Dalmau
1295,Grand Skating Rouennais
1296,Galerie André Groult
1304,Galerie M. Marseille
1321,De Unga
1326,Ostende Centre d'Art
1361,Konstförening Göteborg
1362,Sveriges Allmänna Konstförening
1385,Помещение экономическаго общества офицеров
1412,Wirtschaftsverband bildender Künstler Österreichs
1419,Dom Saltykova
1464,Räumlichkeiten der Neuen Secession
1551,Grand Hotel du Lac
1672,Kunstszaal Schüller en Eisenloeffel
1754,Galeries Paul Rosenberg / L. & P. Rosenberg Fils
1800,Galerie Paul Guillaume
1811,Galleries in Dering Yard
1857,Hallins konsthandel
1969,Galerie Moderne
2035,Opernring 19
2132,Royal Institution
2158,Sällskapet Gnistan
2420,Sdružení výtvarných umělců moravských
2433,Eliščina Třída 6
2437,Volné sdružení přátel kulturních snah v Kladně
2439,Sdružení pokrokových lidí
2490,Galerie Levesque
2596,Galerie de L'Indépendance Artistique
2730,Galerie Vildrac
3013,Annenstr. 30
3458,Diorama
3468,Salong Joël
3471,Konstnärshuset
3472,Tivoli Festivitetslokale
3482,Leonhard Boldts Atelier
3483,"Hotel ""Kaiserin Augusta"""
3484,Museum Folkwang
3485,Kunstsalon Clematis
3486,Franz Hancke Kunstsalon
3487,Kunstverein
3492,Kunstsalon Fischer
3496,Kunsthütte
3498,Kaiser Wilhelm Museum
3500,Kunsthalle P.H.Beyer & Sohn
3503,Kunstsalon Paul Cassirer
3518,Der Neue Kunstsalon
3632,Topičův salon
3754,Via della Colonna N. 27-29
3780,Galerie Haussmann
3787,"Vereenining van Beeldene Kunstenaars ""De Onafhankelijken"". Tentoonstellingsgebou"
3791,Galeries Serrurier
3840,Earls Court
3846,Galerie d'Art A. Grubicy
4408,Marlborough Gallery
4417,Galleria G. Giosi
4866,Kunsthandel C. M. Van Gogh
4909,"Vereeniging ""Voor de Kunst"""
4911,Kunstzaal Oldenzeel
4931,Brakl[s Moderne Kunsthandlung]
4943,Larensche Kunsthandel
5398,Ausstellungsgebäude auf der Brühlesche Terrasse
6000,Galerie Josefinum
6956,Stadtfestsaal Antwerpen
6960,Cercle Vrije Kunst
7388,Zürcher Kunstgesellschaft
7600,"Towarzystwo Artystów Polskich ""Sztuka"""
7846,Galerie Georges Petit
9189,Dům umělců
12415,KÉVE
12458,Galerie A. Vollard
14196,Pour l'Art
14377,Gothenburg [exact location unknown]
17496,Městské průmyslové museum
19254,Galeries Georges Petit
19423,Exposition Coloniale Nationale De Marseille (1906)
19563,Capitole
20346,The Fine Art Society
20807,C.k. české gymnasium
20873,Průmyslové muzeum pro východní Čechy
21510,The Gallery of Austrian Arts and Crafts
23593,Glasgow Society of Artists
25902,New English Art Club Galleries
29098,Ancienne Caisse d'épargne
29101,Ancien Archevêché
39945,Burlington Fine Arts Club
